Seed,School,Overall_Games,Overall_Win,Overall_Loss,Overall_W_L%,Overall_SRS,Overall_SOS,Conference_Win,Conference_Loss,Home_Win,Home_Loss,Away_Win,Away_Loss,Points_For,Points_Against,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
12,Akron,34,29,5,.853,9.04,-3.33,17,1,15,0,9,3,3004,2499,1360,1090,2169,.503,371,979,.379,453,601,.754,386,1294,627,256,105,372,536
4,Alabama,32,23,9,.719,22.70,14.45,13,5,12,3,7,3,2935,2671,1290,965,2108,.458,405,1131,.358,600,784,.765,391,1300,516,206,162,313,593
1,Arizona,34,32,2,.941,29.92,12.57,16,2,16,1,9,1,2929,2339,1365,1039,2069,.502,200,555,.360,651,887,.734,434,1446,576,266,144,368,544
4,Arkansas,34,26,8,.765,22.43,12.57,13,5,17,1,5,5,3058,2723,1380,1091,2182,.500,283,728,.389,593,794,.747,375,1227,578,247,174,306,574
6,Brigham Young,34,23,11,.676,21.04,12.45,9,9,12,3,3,6,2853,2561,1365,1010,2117,.477,294,842,.349,539,723,.746,421,1302,459,245,151,369,536
13,California Baptist,33,25,8,.758,2.52,-2.93,13,5,15,0,7,7,2410,2230,1335,845,1957,.432,212,629,.337,508,707,.719,458,1318,341,181,95,408,617
8,Clemson,34,24,10,.706,16.99,9.57,12,6,13,3,6,5,2521,2269,1370,864,1906,.453,279,818,.341,514,708,.726,316,1166,434,215,96,319,545
2,Connecticut,34,29,5,.853,22.92,10.53,17,3,15,2,9,2,2635,2214,1370,962,1994,.482,283,804,.352,428,598,.716,395,1243,625,234,179,380,612
1,Duke,34,32,2,.941,31.55,12.41,17,1,15,0,10,1,2798,2147,1360,973,1986,.490,309,881,.351,543,750,.724,424,1370,576,265,111,358,534
1,Florida,33,26,7,.788,27.90,13.11,16,2,14,1,8,2,2864,2376,1320,1016,2125,.478,243,789,.308,589,830,.710,532,1499,549,221,167,394,586
15,Furman,34,22,12,.647,-3.24,-6.14,10,8,11,5,7,5,2600,2397,1375,934,1963,.476,302,923,.327,430,623,.690,370,1291,532,163,112,406,513
8,Georgia,32,22,10,.688,19.57,8.91,10,8,14,4,6,4,2874,2533,1300,988,2097,.471,314,921,.341,584,775,.754,417,1222,478,268,195,341,545
3,Gonzaga,33,30,3,.909,25.11,5.98,16,2,15,0,8,2,2809,2178,1325,1067,2092,.510,220,648,.340,455,651,.699,395,1317,605,281,122,319,555
13,Hawaii,32,24,8,.750,4.85,-3.59,14,6,16,3,6,5,2548,2231,1290,859,1870,.459,236,749,.315,594,802,.741,355,1257,439,212,130,431,571
12,High Point,34,30,4,.882,6.76,-7.89,15,1,17,1,7,2,3059,2389,1370,1034,2104,.491,314,883,.356,677,911,.743,395,1237,554,370,130,318,634
13,Hofstra,34,24,10,.706,4.48,-2.46,12,6,10,2,9,8,2571,2246,1370,886,2005,.442,322,876,.368,477,639,.746,422,1335,434,169,125,360,583
2,Houston,34,28,6,.824,26.23,11.93,14,4,15,1,6,3,2623,2137,1365,944,2099,.450,299,856,.349,436,565,.772,435,1244,499,263,131,289,612
16,Howard,33,23,10,.697,-4.64,-11.85,11,3,11,4,7,6,2556,2236,1324,860,1875,.459,220,637,.345,616,843,.731,409,1207,535,286,121,447,632
15,Idaho,35,21,14,.600,-0.05,-2.70,9,9,9,4,7,9,2753,2540,1405,940,2097,.448,349,981,.356,524,713,.735,373,1309,439,205,81,370,636
3,Illinois,32,24,8,.750,26.45,11.89,15,5,14,3,8,2,2700,2234,1300,918,1984,.463,349,1006,.347,515,653,.789,422,1301,470,120,148,284,428
9,Iowa,33,21,12,.636,19.00,9.76,10,10,14,3,3,8,2482,2177,1325,873,1777,.491,264,739,.357,472,613,.770,291,971,506,235,66,320,582
15,Iowa State,34,27,7,.794,27.15,10.50,12,6,16,1,5,5,2781,2215,1360,1003,2048,.490,307,794,.387,468,696,.672,403,1211,586,305,92,349,543
4,Kansas,33,23,10,.697,21.10,14.86,12,6,14,2,5,6,2496,2290,1330,883,1948,.453,243,695,.350,487,635,.767,334,1282,471,181,189,352,474
14,Kennesaw State,34,21,13,.618,0.13,-2.00,10,10,13,3,4,8,2834,2586,1370,940,2106,.446,320,915,.350,634,918,.691,473,1371,485,241,180,404,680
7,Kentucky,34,21,13,.618,19.80,12.86,10,8,14,4,4,6,2746,2510,1360,955,2057,.464,275,806,.341,561,771,.728,406,1275,544,243,150,357,627
16,Lehigh,34,18,16,.529,-9.32,-7.04,11,7,13,4,4,11,2490,2515,1405,886,1909,.464,267,743,.359,451,617,.731,261,1083,487,228,113,412,543
